Company,Slogan,Description,Shortened_Description
Hendrick's Gin,A most unusual gin.,"Hendrick's Gin is a brand of gin produced by Allan Hendricks & Ashwin Hendricks(son) at the Girvan distillery, Scotland, and launched in 1999. The brand was created by spirits marketer Steven Grasse, while the gin itself was conceived by Lesley Gracie, a Yorkshire native, who was hired by William Grant & Sons to work in new liquid development for some of their products. A decade later she was tasked with creating a new super-premium gin. In addition to the traditional juniper infusion, Hendrick's uses Bulgarian rose and cucumber to add flavour. Hendrick's gin is bottled in a dark brown, apothecary-style bottle.",Hendrick Gin brand gin Allan Hendricks Ashwin Girvan distillery Scotland brand spirits
Gordon's Gin,Re-mix yourself.,"Gordon's is a brand of London dry gin first produced in 1769. The top markets for Gordon's are the United Kingdom, the United States and Greece. It is owned by the British multinational alcoholic beverage company Diageo. It is the world's best-selling London dry gin. Gordon's has been the UK's number one gin since the late 19th century. A 40% ABV version for the North American market is distilled in Canada.",Gordon brand London dry gin top markets Gordon United Kingdom United States
Beefeater Gin,Make it a double.,Beefeater Gin is a brand of gin owned by Pernod Ricard and bottled and distributed in the United Kingdom. Beefeater remained in the control of its founding Burrough family until 1987. The Beefeater distillery is one of 24 in London.,Beefeater Gin brand gin Pernod Ricard bottled United Kingdom Beefeater control Burrough
Baileys Irish Cream,The Pleasure Society.,"Baileys Irish Cream is an Irish cream liqueur made of cream, cocoa and Irish Whiskey emulsified together with vegetable oil. Baileys is made by Diageo at Nangor Road, in Dublin, Ireland and in Mallusk, Northern Ireland. It is the original Irish cream, invented by a team headed by Tom Jago in 1971 for Gilbeys of Ireland; Diageo currently owns the trademark. It has a declared alcohol content of 17% by volume.",Baileys Irish Cream Irish cream liqueur cream cocoa Irish Whiskey vegetable oil
Captain Morgan,Enjoy the contradiction.,"Captain Morgan is a brand of flavoured rums produced by British alcohol conglomerate Diageo. It is named after the 17th-century Welsh privateer of the Caribbean, Sir Henry Morgan.",Captain Morgan brand rums British alcohol conglomerate Diageo 17th century Welsh privateer
Sauza Tequila,Fun is calling.,"Sauza Tequila Import Company is a producer of tequila located in Tequila, a municipality of the state of Jalisco, Mexico and owned by Suntory Global Spirits, a subsidiary of Suntory Holdings of Osaka, Japan.",Sauza Tequila Import Company producer tequila Tequila municipality state Jalisco Mexico Suntory
Wyborowa Vodka,Exquisite wodka.,No description available,description available
Canadian Club,âNo ordinary Whisky.,"Canadian Club is a brand of Canadian whisky produced by Suntory Global Spirits. Popularly known as CC, Canadian Club was created by Hiram Walker and Sons, an evolution of a brand around a product that took place over the second half of the nineteenth century. Hiram Walker merged with Gooderham & Worts, Ltd. in 1926, yielding Hiram Walker-Gooderham & Worts, Ltd.",Canadian Club brand Canadian whisky Suntory Global Spirits CC Canadian Club Hiram
Arbor Mist,Just what you've been looking for.,"Arbor Mist is the brand name of an alcoholic beverage which blends wines such as Merlot, Zinfandel and Chardonnay with fruit flavourings and high fructose corn syrup. Its slogan is ""Great Tasting Wine with a Splash of Fruit."" Arbor Mist has a lower alcohol content than most wines, and is usually cheaper than other similar alcoholic beverages. It is made by the Arbor Mist Winery in Canandaigua, New York, and is packaged by E&J Gallo Winery.",Arbor Mist brand name alcoholic beverage wines such Merlot Zinfandel Chardonnay fruit
Aqua Pura,Be the best you can be.,Aqua Pura is a brand of mineral water drawn from Cumbria in the United Kingdom. The company is based in Armathwaite.,Aqua Pura brand mineral water Cumbria United Kingdom company Armathwaite
Bisleri,The sweet taste of purity.,"Bisleri International is an Indian multinational company which is best known for the eponymous brand of bottled water. The company was started in the 1970s by Ramesh Chauhan, and sells bottled water and soft drinks.",Bisleri International Indian multinational company eponymous brand bottled water company 1970s Ramesh
Evan Williams,Aged longer to taste smoother.,Evan Williams may refer to:,Evan Williams
Colgate,"Stronger, healthier gums.",Colgate may refer to:,Colgate
Fanta,"Drink Fanta, stay Bamboocha.","Fanta is an American-owned brand of fruit-flavored carbonated soft drinks created by Coca-Cola Deutschland under the leadership of German businessman Max Keith. There are over 200 flavors worldwide. Fanta originated in Germany as a Coca-Cola alternative in 1941 due to the American trade embargo of Nazi Germany which affected the availability of Coca-Cola ingredients. Fanta soon dominated the German market with three million cases sold in 1943. The current formulation of Fanta, with orange flavor, was developed in Italy in 1955.",Fanta American brand fruit soft drinks Coca Cola Deutschland leadership German businessman
Pizza Hut,Make it great.,"Pizza Hut, LLC is an American multinational pizza restaurant chain and international franchise founded in 1958 in Wichita, Kansas, by brothers Dan and Frank Carney. The chain, headquartered in Plano, Texas, operates 19,866 restaurants worldwide as of 2023.",Pizza Hut LLC American multinational pizza restaurant chain international franchise Wichita Kansas
Head & Shoulders,Live head first.,Head & Shoulders (H&S) is an American brand of anti-dandruff and non-dandruff shampoo produced by parent company Procter & Gamble.,Head Shoulders H&S American brand anti - dandruff non - dandruff shampoo
Domino's Pizza,Pizza deliver experts.,"Domino's Pizza, Inc., commonly referred to as Domino's, is an American multinational pizza restaurant chain founded in 1960 and led by CEO Russell Weiner. The corporation is Delaware-domiciled and headquartered at the Domino's Farms office park in Ann Arbor Township, near Ann Arbor, Michigan. As of 2018, Domino's had approximately 15,000 stores, with 5,649 in the United States, 1,500 in India, and 1,249 in the United Kingdom. Domino's has stores in over 83 countries and 5,701 cities worldwide.",Domino Pizza Inc. Domino American multinational pizza restaurant chain CEO Russell Weiner
Ben & Jerry's,"Peace, love & ice cream.","Ben & Jerry's Homemade Holdings Inc., trading and commonly known as Ben & Jerry's, is an American company that manufactures ice cream, frozen yogurt, and sorbet. Founded in 1978 in Burlington, Vermont, the company went from a single ice cream parlor to a multinational brand over the course of a few decades. The company was sold in 2000 to the British multinational conglomerate Unilever but operates as an independent subsidiary. Its present-day headquarters is in South Burlington, Vermont, with its factory in Waterbury, Vermont.",Ben Jerry Homemade Holdings Inc. trading Ben Jerry American company ice cream
Heineken,It's all about the beer.,"Heineken Lager Beer, or simply Heineken, is a Dutch pale lager beer with 5% alcohol by volume produced by the Dutch brewing company Heineken N.V. Heineken beer is sold in a green bottle with a red star.",Heineken Lager Beer Heineken Dutch pale lager beer % alcohol volume Dutch
Gatorade,The Legend Continues.,"Gatorade is an American brand of sports-themed beverage and food products, built around its signature line of sports drinks. The drink is owned and manufactured by PepsiCo and is distributed in over 80 countries. The beverage was developed in 1965 by a team of researchers at the University of Florida led by Robert Cade. It was originally made for the school's student-athletes, the Gators, to replenish the carbohydrates that they burned and the combination of water and electrolytes that they lost in sweat during vigorous sports activities. Stokely-Van Camp acquired the rights to produce and market the Gatorade brand in 1965 before the company was purchased by the Quaker Oats Company in 1983, which, in turn, was bought by PepsiCo in 2001.",Gatorade American brand sports beverage food products signature line sports drinks drink
Milo,MILO Everyday!,Milo may refer to:,Milo
Starbucks,Customize Your Cup.,"Starbucks Corporation is an American multinational chain of coffeehouses and roastery reserves headquartered in Seattle, Washington. It was founded in 1971 by Jerry Baldwin, Zev Siegl, and Gordon Bowker at Seattle's Pike Place Market initially as a coffee bean wholesaler. Starbucks was converted into a coffee shop serving espresso-based drinks under the ownership of Howard Schultz, who was chief executive officer from 1986 to 2000 and led the aggressive expansion of the franchise across the West Coast of the United States.",Starbucks Corporation American multinational chain coffeehouses roastery reserves Seattle Washington Jerry Baldwin
